probe_id,symbol
201968_s_at,PGM1
201121_s_at,PGRMC1
212726_at,PHF2
201397_at,PHGDH
205450_at,PHKA1
202738_s_at,PHKB
203709_at,PHKG2
205452_at,PIGB
217872_at,PIH1D1
204484_at,PIK3C2B
204297_at,PIK3C3
204369_at,PIK3CA
202743_at,PIK3R3
212740_at,PIK3R4
202927_at,PIN1
201080_at,PIP4K2B
218667_at,PJA1
202328_s_at,PKD1
202732_at,PKIG
204458_at,PLA2G15
210145_at,PLA2G4A
213384_x_at,PLCB3
218290_at,PLEKHJ1
212717_at,PLEKHM1
202240_at,PLK1
202185_at,PLOD3
201136_at,PLP2
209147_s_at,PLPP1
205190_at,PLS1
202446_s_at,PLSCR1
56197_at,PLSCR3
204285_s_at,PMAIP1
203201_at,PMM2
218961_s_at,PNKP
203616_at,POLB
203213_at,POLD1
202996_at,POLD4
205909_at,POLE2
205811_at,POLG2
207515_s_at,POLR1C
212955_s_at,POLR2I
202635_s_at,POLR2K
219459_at,POLR3B
202868_s_at,POP4
37152_at,PPARD
208510_s_at,PPARG
204517_at,PPIC
202494_at,PPIE
201489_at,PPIF
204788_s_at,PPOX
216347_s_at,PPP1R13B
207749_s_at,PPP2R3A
218852_at,PPP2R3C
202187_s_at,PPP2R5A
204611_s_at,PPP2R5B
203338_at,PPP2R5E
202429_s_at,PPP3CA
201594_s_at,PPP4R1
203456_at,PRAF2
201494_at,PRCP
202801_at,PRKACA
218292_s_at,PRKAG2
202545_at,PRKCD
206099_at,PRKCH
210038_at,PRKCQ
204061_at,PRKX
207808_s_at,PROS1
209161_at,PRPF4
219127_at,PRR15L
219742_at,PRR7
202458_at,PRSS23
209586_s_at,PRUNE1
209337_at,PSIP1
202659_at,PSMB10
209040_s_at,PSMB8
219485_s_at,PSMD10
200830_at,PSMD2
200882_s_at,PSMD4
203447_at,PSMD5
207805_s_at,PSMD9
200814_at,PSME1
201762_s_at,PSME2
201052_s_at,PSMF1
203405_at,PSMG1
201896_s_at,PSRC1
204054_at,PTEN
204748_at,PTGS2
208820_at,PTK2
203110_at,PTK2B
202716_at,PTPN1
202006_at,PTPN12
206687_s_at,PTPN6
207238_s_at,PTPRC
200636_s_at,PTPRF
203038_at,PTPRK
209899_s_at,PUF60
201608_s_at,PWP1
219076_s_at,PXMP2
201087_at,PXN
202148_s_at,PYCR1
202990_at,PYGL
218948_at,QRSL1
203884_s_at,RAB11FIP2
220964_s_at,RAB1B
203885_at,RAB21
209515_s_at,RAB27A
217763_s_at,RAB31
213531_s_at,RAB3GAP1
203582_s_at,RAB4A
203573_s_at,RABGGTA
207419_s_at,RAC2
201223_s_at,RAD23B
206066_s_at,RAD51C
204828_at,RAD9A
211318_s_at,RAE1
202052_s_at,RAI14
214435_x_at,RALA
202100_at,RALB
209050_s_at,RALGDS
202362_at,RAP1A
203911_at,RAP1GAP
211605_s_at,RARA
202677_at,RASA1
203132_at,RB1
219222_at,RBKS
202689_at,RBM15B
212591_at,RBM34
201967_at,RBM6
208872_s_at,REEP5
205205_at,RELB
203696_s_at,RFC2
203209_at,RFC5
212968_at,RFNG
202963_at,RFX5
202388_at,RGS2
201453_x_at,RHEB
200059_s_at,RHOA
212651_at,RHOBTB1
207993_s_at,RHOV
212047_s_at,RNF167
206050_s_at,RNH1
202683_s_at,RNMT
200060_s_at,RNPS1
201528_at,RPA1
201756_at,RPA2
209507_at,RPA3
218462_at,RPF1
212973_at,RPIA
210115_at,RPL39L
201011_at,RPN1
205562_at,RPP38
200024_at,RPS5
200081_s_at,RPS6
203379_at,RPS6KA1
201628_s_at,RRAGA
216913_s_at,RRP12
212846_at,RRP1B
203171_s_at,RRP8
209567_at,RRS1
201980_s_at,RSU1
203594_at,RTCA
34408_at,RTN2
201614_s_at,RUVBL1
204808_s_at,RXYLT1
202598_at,S100A13
203186_s_at,S100A4
202797_at,SACM1L
208741_at,SAP18
203408_s_at,SATB1
203250_at,SCAF8
218206_x_at,SCAND1
201819_at,SCARB1
201825_s_at,SCCPDH
201339_s_at,SCP2
201462_at,SCRN1
205607_s_at,SCYL3
202675_at,SDHB
202083_s_at,SEC14L1
202798_at,SEC24B
202361_at,SEC24C
219499_at,SEC61A2
57703_at,SENP5
202318_s_at,SENP6
202627_s_at,SERPINE1
219382_at,SERTAD3
218346_s_at,SESN1
213153_at,SETD1B
203155_at,SETDB1
213370_s_at,SFMBT1
209260_at,SFN
205120_s_at,SGCB
201739_at,SGK1
201811_x_at,SH3BP5
204656_at,SHB
201469_s_at,SHC1
208078_s_at,SIK1
221562_s_at,SIRT3
203727_at,SKIC2
221531_at,SKIC8
200711_s_at,SKP1
203123_s_at,SLC11A2
207038_at,SLC16A6
212811_x_at,SLC1A4
203775_at,SLC25A13
204587_at,SLC25A14
202825_at,SLC25A4
212833_at,SLC25A46
222217_s_at,SLC27A3
201250_s_at,SLC2A1
220091_at,SLC2A6
203306_s_at,SLC35A1
206770_s_at,SLC35A3
202433_at,SLC35B1
218826_at,SLC35F2
213119_at,SLC36A1
202830_s_at,SLC37A4
204087_s_at,SLC5A6
205398_s_at,SMAD3
213720_s_at,SMARCA4
201074_at,SMARCC1
201827_at,SMARCD2
201589_at,SMC1A
209257_s_at,SMC3
201664_at,SMC4
201794_s_at,SMG7
200071_at,SMNDC1
218788_s_at,SMYD3
202507_s_at,SNAP25
204466_s_at,SNCA
202691_at,SNRPD1
203832_at,SNRPF
220140_s_at,SNX11
213292_s_at,SNX13
202114_at,SNX2
217789_at,SNX6
205573_s_at,SNX7
203373_at,SOCS2
209253_at,SORBS3
213721_at,SOX2
201416_at,SOX4
219888_at,SPAG4
200053_at,SPAG7
214404_x_at,SPDEF
201997_s_at,SPEN
209875_s_at,SPP1
203458_at,SPR
212458_at,SPRED2
208611_s_at,SPTAN1
203127_s_at,SPTLC2
217995_at,SQOR
201471_s_at,SQSTM1
213324_at,SRC
202401_s_at,SRF
218140_x_at,SRPRB
201225_s_at,SRRM1
213152_s_at,SRSF8
203787_at,SSBP2
203217_s_at,ST3GAL5
204542_at,ST6GALNAC2
207871_s_at,ST7
202811_at,STAMBP
221610_s_at,STAP2
200887_s_at,STAT1
208992_s_at,STAT3
205026_at,STAT5B
201331_s_at,STAT6
213851_at,STIMATE
203047_at,STK10
201314_at,STK25
200783_s_at,STMN1
217934_x_at,STUB1
204729_s_at,STX1A
203530_s_at,STX4
202260_s_at,STXBP1
209367_at,STXBP2
212894_at,SUPV3L1
218619_s_at,SUV39H1
212287_at,SUZ12
209307_at,SWAP70
207540_s_at,SYK
202761_s_at,SYNE2
205691_at,SYNGR3
201260_s_at,SYPL1
202813_at,TARBP1
201263_at,TARS1
203648_at,TATDN2
214061_at,TBC1D31
212054_x_at,TBC1D9B
201804_x_at,TBCB
203135_at,TBP
208398_s_at,TBPL1
213417_at,TBX2
336_at,TBXA2R
203919_at,TCEA2
202371_at,TCEAL4
202396_at,TCERG1
204849_at,TCFL5
204158_s_at,TCIRG1
203054_s_at,TCTA
218584_at,TCTN1
202466_at,TENT4A
201174_s_at,TERF2IP
207199_at,TERT
202720_at,TES
204106_at,TESK1
218104_at,TEX10
204654_s_at,TFAP2A
212330_at,TFDP1
208249_s_at,TGDS
209747_at,TGFB3
207334_s_at,TGFBR2
212910_at,THAP11
213135_at,TIAM1
213191_at,TICAM1
203046_s_at,TIMELESS
203342_at,TIMM17B
219184_x_at,TIMM22
218316_at,TIMM9
203167_at,TIMP2
212665_at,TIPARP
202011_at,TJP1
218898_at,TLCD3A
203221_at,TLE1
212770_at,TLE3
212997_s_at,TLK2
221060_s_at,TLR4
201078_at,TM9SF2
217758_s_at,TM9SF3
208716_s_at,TMCO1
200929_at,TMED10
201361_at,TMEM109
219460_s_at,TMEM127
209760_at,TMEM131L
217766_s_at,TMEM50A
212281_s_at,TMEM97
201207_at,TNFAIP1
218856_at,TNFRSF21
207196_s_at,TNIP1
217960_s_at,TOMM22
201870_at,TOMM34
201519_at,TOMM70
201292_at,TOP2A
202633_at,TOPBP1
202349_at,TOR1A
201746_at,TP53
203050_at,TP53BP1
203120_at,TP53BP2
210241_s_at,TP53TG1
201379_s_at,TPD52L2
210986_s_at,TPM1
202125_s_at,TRAK2
202368_s_at,TRAM2
201391_at,TRAP1
203512_at,TRAPPC3
204985_s_at,TRAPPC6A
202241_at,TRIB1
218145_at,TRIB3
203659_s_at,TRIM13
215945_s_at,TRIM2
202734_at,TRIP10
208763_s_at,TSC22D3
219581_at,TSEN2
218245_at,TSKU
201513_at,TSN
200972_at,TSPAN3
209263_x_at,TSPAN4
209109_s_at,TSPAN6
204772_s_at,TTF1
209191_at,TUBB6
202009_at,TWF2
212300_at,TXLNA
211758_x_at,TXNDC9
218794_s_at,TXNL4B
201266_at,TXNRD1
201899_s_at,UBE2A
202954_at,UBE2C
217825_s_at,UBE2J1
201649_at,UBE2L6
212403_at,UBE3B
201817_at,UBE3C
202038_at,UBE4A
215884_s_at,UBQLN2
218108_at,UBR7
218050_at,UFM1
203343_at,UGDH
205480_s_at,UGP2
202413_s_at,USP1
201671_x_at,USP14
203965_at,USP20
200083_at,USP22
204761_at,USP6NL
201498_at,USP7
221514_at,UTP14A
203241_at,UVRAG
202829_s_at,VAMP7
202550_s_at,VAPB
208626_s_at,VAT1
218807_at,VAV3
217140_s_at,VDAC1
212399_s_at,VGLL4
201807_at,VPS26A
218679_s_at,VPS28
202261_at,VPS72
204042_at,WASF3
212795_at,WASHC4
201985_at,WASHC5
212880_at,WDR7
40829_at,WDTC1
202908_at,WFS1
221887_s_at,WHRN
212051_at,WIPF2
205667_at,WRN
210695_s_at,WWOX
200670_at,XBP1
209045_at,XPNPEP1
212166_at,XPO7
201161_s_at,YBX3
217784_at,YKT6
201351_s_at,YME1L1
221741_s_at,YTHDF1
209724_s_at,ZBTB14
205340_at,ZBTB24
203026_at,ZBTB5
213390_at,ZC3H4
218249_at,ZDHHC6
202452_at,ZER1
201531_at,ZFP36
221848_at,ZGPAT
212124_at,ZMIZ1
202778_s_at,ZMYM2
214741_at,ZNF131
204937_s_at,ZNF274
203521_s_at,ZNF318
218149_s_at,ZNF395
212557_at,ZNF451
219711_at,ZNF586
219968_at,ZNF589
213196_at,ZNF629
218068_s_at,ZNF672
220661_s_at,ZNF692
218916_at,ZNF768
204812_at,ZW10
202040_s_at,KDM5A
